"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 06:58:28 GMT 2023","Sun Oct 08 06:58:31 GMT 2023","3305","chromium","cart-page.spec.js","","","","Edit Product's quantity in Cart",""
"passed","Sun Oct 08 06:58:31 GMT 2023","Sun Oct 08 06:58:33 GMT 2023","1967","chromium","category-page.spec.js","","","","View category products",""
"passed","Sun Oct 08 06:58:40 GMT 2023","Sun Oct 08 06:58:42 GMT 2023","1168","chromium","home-page.spec.js","","","","Add Product to Compare Products List from Home Page",""
"passed","Sun Oct 08 06:58:42 GMT 2023","Sun Oct 08 06:58:46 GMT 2023","4562","chromium","login-page.spec.js","","","","Login User with correct email and wrong password",""
"passed","Sun Oct 08 06:58:50 GMT 2023","Sun Oct 08 06:58:51 GMT 2023","1541","chromium","wishlist-page.spec.js","","","","Edit Product's quantity in Wishlist",""
"passed","Sun Oct 08 06:58:28 GMT 2023","Sun Oct 08 06:58:31 GMT 2023","3041","chromium","cart-page.spec.js","","","","Remove Product from Cart",""
"passed","Sun Oct 08 06:58:38 GMT 2023","Sun Oct 08 06:58:45 GMT 2023","7532","chromium","checkout-page.spec.js","","","","Checkout as a user",""
"passed","Sun Oct 08 06:58:31 GMT 2023","Sun Oct 08 06:58:36 GMT 2023","4771","chromium","cart-page.spec.js","","","","Add Gift wrapping in Cart",""
"passed","Sun Oct 08 06:58:38 GMT 2023","Sun Oct 08 06:58:40 GMT 2023","1444","chromium","compare-page.spec.js","","","","Clear Compare Products List",""
"passed","Sun Oct 08 06:58:45 GMT 2023","Sun Oct 08 06:58:50 GMT 2023","4330","chromium","login-page.spec.js","","","","Login User with wrong email and correct password",""
"passed","Sun Oct 08 06:58:49 GMT 2023","Sun Oct 08 06:58:50 GMT 2023","901","chromium","search-page.spec.js","","","","Search the Product",""
"passed","Sun Oct 08 06:58:33 GMT 2023","Sun Oct 08 06:58:34 GMT 2023","767","chromium","category-page.spec.js","","","","Navigate to sub category page from side bar",""
"passed","Sun Oct 08 06:58:37 GMT 2023","Sun Oct 08 06:58:38 GMT 2023","1689","chromium","compare-page.spec.js","","","","Remove Product from Compare Products List",""
"passed","Sun Oct 08 06:58:43 GMT 2023","Sun Oct 08 06:58:48 GMT 2023","4722","chromium","login-page.spec.js","","","","Login User with correct email and password",""
"passed","Sun Oct 08 06:58:51 GMT 2023","Sun Oct 08 06:58:52 GMT 2023","1264","chromium","wishlist-page.spec.js","","","","Add Product to Cart from Wishlist Page",""
"passed","Sun Oct 08 06:58:46 GMT 2023","Sun Oct 08 06:58:47 GMT 2023","476","chromium","login-page.spec.js","","","","Login User with empty email and password",""
"passed","Sun Oct 08 06:58:39 GMT 2023","Sun Oct 08 06:58:40 GMT 2023","1189","chromium","home-page.spec.js","","","","Add Product to Cart from Home Page",""
"passed","Sun Oct 08 06:58:35 GMT 2023","Sun Oct 08 06:58:39 GMT 2023","4047","chromium","checkout-page.spec.js","","","","Checkout as a guest",""
"passed","Sun Oct 08 06:58:57 GMT 2023","Sun Oct 08 06:59:02 GMT 2023","4694","chromium","register-page.spec.js","","","","Register New User Account",""
"passed","Sun Oct 08 06:58:31 GMT 2023","Sun Oct 08 06:58:37 GMT 2023","5588","chromium","cart-page.spec.js","","","","Estimate shipping in Cart",""
"passed","Sun Oct 08 06:58:48 GMT 2023","Sun Oct 08 06:58:49 GMT 2023","1208","chromium","search-page.spec.js","","","","Add Product in Cart from Search Page",""
"passed","Sun Oct 08 06:58:40 GMT 2023","Sun Oct 08 06:58:41 GMT 2023","1262","chromium","home-page.spec.js","","","","Add Product to Wishlist from Home Page",""
"passed","Sun Oct 08 06:58:28 GMT 2023","Sun Oct 08 06:58:31 GMT 2023","3102","chromium","cart-page.spec.js","","","","Check continue shopping button in Cart",""
"passed","Sun Oct 08 06:58:50 GMT 2023","Sun Oct 08 06:58:51 GMT 2023","1381","chromium","wishlist-page.spec.js","","","","Remove Product from Wishlist",""
