"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 06:53:04 GMT 2023","Sun Oct 08 06:53:08 GMT 2023","3748","chromium","cart-page.spec.js","","","","Check continue shopping button in Cart",""
"passed","Sun Oct 08 06:53:30 GMT 2023","Sun Oct 08 06:53:32 GMT 2023","1795","chromium","wishlist-page.spec.js","","","","Remove Product from Wishlist",""
"passed","Sun Oct 08 06:53:28 GMT 2023","Sun Oct 08 06:53:30 GMT 2023","1786","chromium","search-page.spec.js","","","","Add Product in Cart from Search Page",""
"passed","Sun Oct 08 06:53:10 GMT 2023","Sun Oct 08 06:53:11 GMT 2023","1159","chromium","category-page.spec.js","","","","Navigate to sub category page from side bar",""
"passed","Sun Oct 08 06:53:27 GMT 2023","Sun Oct 08 06:53:27 GMT 2023","492","chromium","login-page.spec.js","","","","Login User with empty email and password",""
"passed","Sun Oct 08 06:53:08 GMT 2023","Sun Oct 08 06:53:13 GMT 2023","5182","chromium","cart-page.spec.js","","","","Add Gift wrapping in Cart",""
"passed","Sun Oct 08 06:53:14 GMT 2023","Sun Oct 08 06:53:17 GMT 2023","2508","chromium","compare-page.spec.js","","","","Remove Product from Compare Products List",""
"passed","Sun Oct 08 06:53:29 GMT 2023","Sun Oct 08 06:53:30 GMT 2023","1336","chromium","search-page.spec.js","","","","Search the Product",""
"passed","Sun Oct 08 06:53:08 GMT 2023","Sun Oct 08 06:53:14 GMT 2023","6022","chromium","cart-page.spec.js","","","","Estimate shipping in Cart",""
"passed","Sun Oct 08 06:53:15 GMT 2023","Sun Oct 08 06:53:24 GMT 2023","8966","chromium","checkout-page.spec.js","","","","Checkout as a user",""
"passed","Sun Oct 08 06:53:19 GMT 2023","Sun Oct 08 06:53:20 GMT 2023","1310","chromium","home-page.spec.js","","","","Add Product to Wishlist from Home Page",""
"passed","Sun Oct 08 06:53:32 GMT 2023","Sun Oct 08 06:53:33 GMT 2023","1809","chromium","wishlist-page.spec.js","","","","Add Product to Cart from Wishlist Page",""
"passed","Sun Oct 08 06:53:13 GMT 2023","Sun Oct 08 06:53:19 GMT 2023","5664","chromium","checkout-page.spec.js","","","","Checkout as a guest",""
"passed","Sun Oct 08 06:53:05 GMT 2023","Sun Oct 08 06:53:08 GMT 2023","3599","chromium","cart-page.spec.js","","","","Edit Product's quantity in Cart",""
"passed","Sun Oct 08 06:53:18 GMT 2023","Sun Oct 08 06:53:20 GMT 2023","1823","chromium","home-page.spec.js","","","","Add Product to Cart from Home Page",""
"passed","Sun Oct 08 06:53:17 GMT 2023","Sun Oct 08 06:53:18 GMT 2023","1824","chromium","compare-page.spec.js","","","","Clear Compare Products List",""
"passed","Sun Oct 08 06:53:22 GMT 2023","Sun Oct 08 06:53:27 GMT 2023","5057","chromium","login-page.spec.js","","","","Login User with correct email and wrong password",""
"passed","Sun Oct 08 06:53:04 GMT 2023","Sun Oct 08 06:53:08 GMT 2023","3803","chromium","cart-page.spec.js","","","","Remove Product from Cart",""
"passed","Sun Oct 08 06:53:38 GMT 2023","Sun Oct 08 06:53:43 GMT 2023","5065","chromium","register-page.spec.js","","","","Register New User Account",""
"passed","Sun Oct 08 06:53:30 GMT 2023","Sun Oct 08 06:53:32 GMT 2023","1828","chromium","wishlist-page.spec.js","","","","Edit Product's quantity in Wishlist",""
"passed","Sun Oct 08 06:53:08 GMT 2023","Sun Oct 08 06:53:10 GMT 2023","1975","chromium","category-page.spec.js","","","","View category products",""
"passed","Sun Oct 08 06:53:23 GMT 2023","Sun Oct 08 06:53:28 GMT 2023","5036","chromium","login-page.spec.js","","","","Login User with correct email and password",""
"passed","Sun Oct 08 06:53:24 GMT 2023","Sun Oct 08 06:53:29 GMT 2023","4519","chromium","login-page.spec.js","","","","Login User with wrong email and correct password",""
"passed","Sun Oct 08 06:53:20 GMT 2023","Sun Oct 08 06:53:22 GMT 2023","1729","chromium","home-page.spec.js","","","","Add Product to Compare Products List from Home Page",""
