"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 16:02:29 GMT 2023","Mon Oct 23 16:02:31 GMT 2023","2496","chromium","login-page.spec.js","","","","Login User with correct email and wrong password",""
"passed","Mon Oct 23 16:02:26 GMT 2023","Mon Oct 23 16:02:28 GMT 2023","1998","chromium","home-page.spec.js","","","","Add Product to Wishlist from Home Page",""
"passed","Mon Oct 23 16:02:31 GMT 2023","Mon Oct 23 16:02:32 GMT 2023","875","chromium","login-page.spec.js","","","","Login User with empty email and password",""
"passed","Mon Oct 23 16:02:22 GMT 2023","Mon Oct 23 16:02:29 GMT 2023","6719","chromium","checkout-page.spec.js","","","","Checkout as a user",""
"passed","Mon Oct 23 16:02:22 GMT 2023","Mon Oct 23 16:02:23 GMT 2023","1579","chromium","compare-page.spec.js","","","","Remove Product from Compare Products List",""
"passed","Mon Oct 23 16:02:13 GMT 2023","Mon Oct 23 16:02:16 GMT 2023","3388","chromium","cart-page.spec.js","","","","Remove Product from Cart",""
"passed","Mon Oct 23 16:02:16 GMT 2023","Mon Oct 23 16:02:19 GMT 2023","2594","chromium","cart-page.spec.js","","","","Add Gift wrapping in Cart",""
"passed","Mon Oct 23 16:02:33 GMT 2023","Mon Oct 23 16:02:35 GMT 2023","1422","chromium","search-page.spec.js","","","","Search the Product",""
"passed","Mon Oct 23 16:02:19 GMT 2023","Mon Oct 23 16:02:20 GMT 2023","1219","chromium","category-page.spec.js","","","","Navigate to sub category page from side bar",""
"passed","Mon Oct 23 16:02:13 GMT 2023","Mon Oct 23 16:02:17 GMT 2023","3947","chromium","cart-page.spec.js","","","","Edit Product's quantity in Cart",""
"passed","Mon Oct 23 16:02:36 GMT 2023","Mon Oct 23 16:02:38 GMT 2023","1777","chromium","wishlist-page.spec.js","","","","Add Product to Cart from Wishlist Page",""
"passed","Mon Oct 23 16:02:28 GMT 2023","Mon Oct 23 16:02:31 GMT 2023","2985","chromium","login-page.spec.js","","","","Login User with correct email and password",""
"passed","Mon Oct 23 16:02:13 GMT 2023","Mon Oct 23 16:02:16 GMT 2023","3831","chromium","cart-page.spec.js","","","","Check continue shopping button in Cart",""
"passed","Mon Oct 23 16:02:40 GMT 2023","Mon Oct 23 16:02:42 GMT 2023","2374","chromium","register-page.spec.js","","","","Register New User Account",""
"passed","Mon Oct 23 16:02:31 GMT 2023","Mon Oct 23 16:02:33 GMT 2023","2675","chromium","login-page.spec.js","","","","Login User with wrong email and correct password",""
"passed","Mon Oct 23 16:02:17 GMT 2023","Mon Oct 23 16:02:19 GMT 2023","2570","chromium","category-page.spec.js","","","","View category products",""
"passed","Mon Oct 23 16:02:26 GMT 2023","Mon Oct 23 16:02:28 GMT 2023","2055","chromium","home-page.spec.js","","","","Add Product to Cart from Home Page",""
"passed","Mon Oct 23 16:02:16 GMT 2023","Mon Oct 23 16:02:22 GMT 2023","5785","chromium","cart-page.spec.js","","","","Estimate shipping in Cart",""
"passed","Mon Oct 23 16:02:34 GMT 2023","Mon Oct 23 16:02:36 GMT 2023","2058","chromium","wishlist-page.spec.js","","","","Edit Product's quantity in Wishlist",""
"passed","Mon Oct 23 16:02:28 GMT 2023","Mon Oct 23 16:02:29 GMT 2023","1337","chromium","home-page.spec.js","","","","Add Product to Compare Products List from Home Page",""
"passed","Mon Oct 23 16:02:32 GMT 2023","Mon Oct 23 16:02:34 GMT 2023","2330","chromium","search-page.spec.js","","","","Add Product in Cart from Search Page",""
"passed","Mon Oct 23 16:02:23 GMT 2023","Mon Oct 23 16:02:26 GMT 2023","2225","chromium","compare-page.spec.js","","","","Clear Compare Products List",""
"passed","Mon Oct 23 16:02:21 GMT 2023","Mon Oct 23 16:02:26 GMT 2023","5371","chromium","checkout-page.spec.js","","","","Checkout as a guest",""
"passed","Mon Oct 23 16:02:35 GMT 2023","Mon Oct 23 16:02:36 GMT 2023","1425","chromium","wishlist-page.spec.js","","","","Remove Product from Wishlist",""
